Date,Type,Niveau,SurfacePermis,SurfaceChantiers
2018-04-01,Industrie,Sous-destination,317890,253295
2018-05-01,Commerce et services,Destination,658654,458718
2018-05-01,Exploitation agricole ou forestière,Destination,723233,538742
2018-05-01,"Industrie, entrepôts et bureaux",Destination,1075672,896789
2018-05-01,Équipements publics,Destination,492999,536964
2018-05-01,Bureaux,Sous-destination,383984,337151
2018-05-01,Entrepôts,Sous-destination,463811,353432
2018-05-01,Hôtels,Sous-destination,60630,82334
2018-05-01,Industrie,Sous-destination,258142,228901
2018-06-01,Commerce et services,Destination,560408,472084
2018-06-01,Exploitation agricole ou forestière,Destination,762466,458881
2018-06-01,"Industrie, entrepôts et bureaux",Destination,1318784,799667
2018-06-01,Équipements publics,Destination,477903,334651
2018-06-01,Bureaux,Sous-destination,379312,237604
2018-06-01,Entrepôts,Sous-destination,594983,326235
2018-06-01,Hôtels,Sous-destination,74782,94989
2018-06-01,Industrie,Sous-destination,318711,225196
2018-07-01,Commerce et services,Destination,524309,409921
2018-07-01,Exploitation agricole ou forestière,Destination,792243,694605
2018-07-01,"Industrie, entrepôts et bureaux",Destination,1319104,854559
2018-07-01,Équipements publics,Destination,633405,443127
2018-07-01,Bureaux,Sous-destination,448835,306122
2018-07-01,Entrepôts,Sous-destination,385521,328030
2018-07-01,Hôtels,Sous-destination,119146,34377
2018-07-01,Industrie,Sous-destination,382105,248335
2018-08-01,Commerce et services,Destination,539267,273978
2018-08-01,Exploitation agricole ou forestière,Destination,646875,386123
2018-08-01,"Industrie, entrepôts et bureaux",Destination,1418594,641089
2018-08-01,Équipements publics,Destination,423264,293122
2018-08-01,Bureaux,Sous-destination,429467,244298
2018-08-01,Entrepôts,Sous-destination,681037,325003
2018-08-01,Hôtels,Sous-destination,90740,43573
2018-08-01,Industrie,Sous-destination,322493,133372
2018-09-01,Commerce et services,Destination,664195,316478
2018-09-01,Exploitation agricole ou forestière,Destination,934342,423151
2018-09-01,"Industrie, entrepôts et bureaux",Destination,1389256,770195
2018-09-01,Équipements publics,Destination,472019,336473
2018-09-01,Bureaux,Sous-destination,436189,294521
2018-09-01,Entrepôts,Sous-destination,596237,262733
2018-09-01,Hôtels,Sous-destination,75905,39523
2018-09-01,Industrie,Sous-destination,331213,211066
2018-10-01,Commerce et services,Destination,628645,458316
2018-10-01,Exploitation agricole ou forestière,Destination,716607,627855
2018-10-01,"Industrie, entrepôts et bureaux",Destination,1415079,1092410
2018-10-01,Équipements publics,Destination,542204,401298
2018-10-01,Bureaux,Sous-destination,468798,400764
2018-10-01,Entrepôts,Sous-destination,550095,348890
2018-10-01,Hôtels,Sous-destination,95005,61340
2018-10-01,Industrie,Sous-destination,341117,284751
2018-11-01,Commerce et services,Destination,635452,291923
2018-11-01,Exploitation agricole ou forestière,Destination,731739,583614
2018-11-01,"Industrie, entrepôts et bureaux",Destination,1285478,830341
2018-11-01,Équipements publics,Destination,474088,384466
2018-11-01,Bureaux,Sous-destination,429314,309523
2018-11-01,Entrepôts,Sous-destination,584008,294752
2018-11-01,Hôtels,Sous-destination,131268,23527
2018-11-01,Industrie,Sous-destination,306639,239396
2018-12-01,Commerce et services,Destination,594055,368159
2018-12-01,Exploitation agricole ou forestière,Destination,775824,543818
2018-12-01,"Industrie, entrepôts et bureaux",Destination,1424269,970987
2018-12-01,Équipements publics,Destination,509185,380855
2018-12-01,Bureaux,Sous-destination,435661,369112
2018-12-01,Entrepôts,Sous-destination,615712,400323
2018-12-01,Hôtels,Sous-destination,128718,100179
2018-12-01,Industrie,Sous-destination,339449,211152
2019-01-01,Commerce et services,Destination,618138,420280
2019-01-01,Exploitation agricole ou forestière,Destination,964972,577558
2019-01-01,"Industrie, entrepôts et bureaux",Destination,1712039,1150346
2019-01-01,Équipements publics,Destination,578318,420703
2019-01-01,Bureaux,Sous-destination,501307,407536
2019-01-01,Entrepôts,Sous-destination,956864,423814
2019-01-01,Hôtels,Sous-destination,111578,78339
2019-01-01,Industrie,Sous-destination,358483,257714
2019-02-01,Commerce et services,Destination,556778,377696
2019-02-01,Exploitation agricole ou forestière,Destination,832998,443529
2019-02-01,"Industrie, entrepôts et bureaux",Destination,2142973,892603
2019-02-01,Équipements publics,Destination,464956,376763
2019-02-01,Bureaux,Sous-destination,528822,230729
2019-02-01,Entrepôts,Sous-destination,1043987,471231
2019-02-01,Hôtels,Sous-destination,98109,50595
2019-02-01,Industrie,Sous-destination,408106,207739
2019-03-01,Commerce et services,Destination,539382,421695
2019-03-01,Exploitation agricole ou forestière,Destination,740148,499769
2019-03-01,"Industrie, entrepôts et bureaux",Destination,1565285,1211790
2019-03-01,Équipements publics,Destination,448582,341783
2019-03-01,Bureaux,Sous-destination,429547,308065
2019-03-01,Entrepôts,Sous-destination,833019,574948
2019-03-01,Hôtels,Sous-destination,96315,57479
2019-03-01,Industrie,Sous-destination,310910,264382
2019-04-01,Commerce et services,Destination,562391,340452
2019-04-01,Exploitation agricole ou forestière,Destination,800722,499648
2019-04-01,"Industrie, entrepôts et bureaux",Destination,1676315,889614
2019-04-01,Équipements publics,Destination,468727,281691
2019-04-01,Bureaux,Sous-destination,570128,333151
2019-04-01,Entrepôts,Sous-destination,730749,230227
2019-04-01,Hôtels,Sous-destination,80265,56188
2019-04-01,Industrie,Sous-destination,435201,334902
2019-05-01,Commerce et services,Destination,759124,382970
2019-05-01,Exploitation agricole ou forestière,Destination,970499,588784
2019-05-01,"Industrie, entrepôts et bureaux",Destination,1718855,862915
2019-05-01,Équipements publics,Destination,476287,379339
2019-05-01,Bureaux,Sous-destination,513910,274533
2019-05-01,Entrepôts,Sous-destination,864148,370189
2019-05-01,Hôtels,Sous-destination,114648,67499
2019-05-01,Industrie,Sous-destination,397319,270352
2019-06-01,Commerce et services,Destination,520155,361713
2019-06-01,Exploitation agricole ou forestière,Destination,798684,530780
2019-06-01,"Industrie, entrepôts et bureaux",Destination,1539204,880854
2019-06-01,Équipements publics,Destination,510691,368380
2019-06-01,Bureaux,Sous-destination,486010,323459
2019-06-01,Entrepôts,Sous-destination,779143,333216
2019-06-01,Hôtels,Sous-destination,100640,60381
2019-06-01,Industrie,Sous-destination,287409,206106
2019-07-01,Commerce et services,Destination,664489,528861
2019-07-01,Exploitation agricole ou forestière,Destination,876285,455133
2019-07-01,"Industrie, entrepôts et bureaux",Destination,1657965,1173528
2019-07-01,Équipements publics,Destination,838567,437847
2019-07-01,Bureaux,Sous-destination,527593,388454
2019-07-01,Entrepôts,Sous-destination,706031,593216
2019-07-01,Hôtels,Sous-destination,148584,105469
2019-07-01,Industrie,Sous-destination,307720,242978
2019-08-01,Commerce et services,Destination,617196,349363
2019-08-01,Exploitation agricole ou forestière,Destination,626098,481558
2019-08-01,"Industrie, entrepôts et bureaux",Destination,1119338,783122
2019-08-01,Équipements publics,Destination,363869,327016
2019-08-01,Bureaux,Sous-destination,543790,309376
2019-08-01,Entrepôts,Sous-destination,384561,285314
2019-08-01,Hôtels,Sous-destination,100490,35290
2019-08-01,Industrie,Sous-destination,241764,206286
2019-09-01,Commerce et services,Destination,594402,428492
2019-09-01,Exploitation agricole ou forestière,Destination,739924,642534
2019-09-01,"Industrie, entrepôts et bureaux",Destination,1289411,994956
2019-09-01,Équipements publics,Destination,460389,364721
2019-09-01,Bureaux,Sous-destination,413600,299506
2019-09-01,Entrepôts,Sous-destination,524732,452418
2019-09-01,Hôtels,Sous-destination,115072,60315
2019-09-01,Industrie,Sous-destination,319427,235415
2019-10-01,Commerce et services,Destination,591041,425173
2019-10-01,Exploitation agricole ou forestière,Destination,738852,483300
2019-10-01,"Industrie, entrepôts et bureaux",Destination,1519048,949223
2019-10-01,Équipements publics,Destination,528407,470060
2019-10-01,Bureaux,Sous-destination,453254,340525
2019-10-01,Entrepôts,Sous-destination,693635,340747
2019-10-01,Hôtels,Sous-destination,90817,55798
2019-10-01,Industrie,Sous-destination,337325,209344
2019-11-01,Commerce et services,Destination,596488,423275
2019-11-01,Exploitation agricole ou forestière,Destination,731987,492431
2019-11-01,"Industrie, entrepôts et bureaux",Destination,1561325,1657652
2019-11-01,Équipements publics,Destination,555287,341771
2019-11-01,Bureaux,Sous-destination,560940,421334
2019-11-01,Entrepôts,Sous-destination,727460,1049154
2019-11-01,Hôtels,Sous-destination,88998,90569
2019-11-01,Industrie,Sous-destination,335457,205081
2019-12-01,Commerce et services,Destination,565970,289571
2019-12-01,Exploitation agricole ou forestière,Destination,815693,464487
2019-12-01,"Industrie, entrepôts et bureaux",Destination,1558470,1022413
2019-12-01,Équipements publics,Destination,490640,322624
2019-12-01,Bureaux,Sous-destination,438024,304928
2019-12-01,Entrepôts,Sous-destination,796211,429120
2019-12-01,Hôtels,Sous-destination,109674,52695
2019-12-01,Industrie,Sous-destination,326660,301414
2020-01-01,Commerce et services,Destination,544387,351508
2020-01-01,Exploitation agricole ou forestière,Destination,727629,654194
2020-01-01,"Industrie, entrepôts et bureaux",Destination,1420228,1047225
2020-01-01,Équipements publics,Destination,489937,394536
2020-01-01,Bureaux,Sous-destination,533224,310530
2020-01-01,Entrepôts,Sous-destination,600580,438208
2020-01-01,Hôtels,Sous-destination,65594,53262
2020-01-01,Industrie,Sous-destination,353480,238210
2020-02-01,Commerce et services,Destination,661699,365736
2020-02-01,Exploitation agricole ou forestière,Destination,778031,537950
2020-02-01,"Industrie, entrepôts et bureaux",Destination,1515896,1109010
2020-02-01,Équipements publics,Destination,607907,401023
2020-02-01,Bureaux,Sous-destination,504854,271914
2020-02-01,Entrepôts,Sous-destination,582280,498458
2020-02-01,Hôtels,Sous-destination,129954,94107
2020-02-01,Industrie,Sous-destination,360568,411853
2020-03-01,Commerce et services,Destination,449812,198224
2020-03-01,Exploitation agricole ou forestière,Destination,601143,195500
2020-03-01,"Industrie, entrepôts et bureaux",Destination,832574,478123
2020-03-01,Équipements publics,Destination,560676,258176
2020-03-01,Bureaux,Sous-destination,296618,184999
2020-03-01,Entrepôts,Sous-destination,355693,164203
2020-03-01,Hôtels,Sous-destination,87907,23025
2020-03-01,Industrie,Sous-destination,159433,104716
2020-04-01,Commerce et services,Destination,277547,109422
2020-04-01,Exploitation agricole ou forestière,Destination,519935,244319
2020-04-01,"Industrie, entrepôts et bureaux",Destination,750190,608544
2020-04-01,Équipements publics,Destination,284774,121573
2020-04-01,Bureaux,Sous-destination,216815,136015
2020-04-01,Entrepôts,Sous-destination,372071,402011
2020-04-01,Hôtels,Sous-destination,39126,16391
2020-04-01,Industrie,Sous-destination,152300,109275
2020-05-01,Commerce et services,Destination,458712,210735
2020-05-01,Exploitation agricole ou forestière,Destination,526744,361166
2020-05-01,"Industrie, entrepôts et bureaux",Destination,744557,514582
2020-05-01,Équipements publics,Destination,313073,246070
2020-05-01,Bureaux,Sous-destination,278962,190509
2020-05-01,Entrepôts,Sous-destination,331914,192218
2020-05-01,Hôtels,Sous-destination,98839,30193
2020-05-01,Industrie,Sous-destination,177911,128697
2020-06-01,Commerce et services,Destination,465305,299513
2020-06-01,Exploitation agricole ou forestière,Destination,608815,585558
2020-06-01,"Industrie, entrepôts et bureaux",Destination,1480015,923541
2020-06-01,Équipements publics,Destination,374103,550507
2020-06-01,Bureaux,Sous-destination,502366,261957
2020-06-01,Entrepôts,Sous-destination,674494,407661
2020-06-01,Hôtels,Sous-destination,77466,58903
2020-06-01,Industrie,Sous-destination,327998,246541
2020-07-01,Commerce et services,Destination,565874,410119
2020-07-01,Exploitation agricole ou forestière,Destination,790338,525677
2020-07-01,"Industrie, entrepôts et bureaux",Destination,1230437,807319
2020-07-01,Équipements publics,Destination,522254,281253
2020-07-01,Bureaux,Sous-destination,315597,222418
2020-07-01,Entrepôts,Sous-destination,589357,518386
2020-07-01,Hôtels,Sous-destination,73299,53360
2020-07-01,Industrie,Sous-destination,273396,140461
2020-08-01,Commerce et services,Destination,492922,317722
2020-08-01,Exploitation agricole ou forestière,Destination,815960,462031
2020-08-01,"Industrie, entrepôts et bureaux",Destination,1169320,948070
2020-08-01,Équipements publics,Destination,431099,319819
2020-08-01,Bureaux,Sous-destination,335057,315121
2020-08-01,Entrepôts,Sous-destination,521524,473659
2020-08-01,Hôtels,Sous-destination,75940,35458
2020-08-01,Industrie,Sous-destination,353537,195566
2020-09-01,Commerce et services,Destination,523747,311451
2020-09-01,Exploitation agricole ou forestière,Destination,717129,438292
2020-09-01,"Industrie, entrepôts et bureaux",Destination,1629170,883273
2020-09-01,Équipements publics,Destination,413832,286799
2020-09-01,Bureaux,Sous-destination,387062,273487
2020-09-01,Entrepôts,Sous-destination,870419,456386
2020-09-01,Hôtels,Sous-destination,91149,48449
2020-09-01,Industrie,Sous-destination,340776,150295
2020-10-01,Commerce et services,Destination,560799,370454
2020-10-01,Exploitation agricole ou forestière,Destination,778090,612302
2020-10-01,"Industrie, entrepôts et bureaux",Destination,1230453,1068068
2020-10-01,Équipements publics,Destination,379002,372221
2020-10-01,Bureaux,Sous-destination,482982,335608
2020-10-01,Entrepôts,Sous-destination,470155,434714
2020-10-01,Hôtels,Sous-destination,125216,44514
2020-10-01,Industrie,Sous-destination,254499,227770
2020-11-01,Commerce et services,Destination,470866,356606
2020-11-01,Exploitation agricole ou forestière,Destination,769640,517771
2020-11-01,"Industrie, entrepôts et bureaux",Destination,1346775,1033396
2020-11-01,Équipements publics,Destination,450320,340932
2020-11-01,Bureaux,Sous-destination,525214,231072
2020-11-01,Entrepôts,Sous-destination,581461,671941
2020-11-01,Hôtels,Sous-destination,51349,43976
2020-11-01,Industrie,Sous-destination,309597,170251
2020-12-01,Commerce et services,Destination,495272,368450
2020-12-01,Exploitation agricole ou forestière,Destination,579267,442677
2020-12-01,"Industrie, entrepôts et bureaux",Destination,1408438,988669
2020-12-01,Équipements publics,Destination,438443,351628
2020-12-01,Bureaux,Sous-destination,485250,329954
2020-12-01,Entrepôts,Sous-destination,593080,455108
2020-12-01,Hôtels,Sous-destination,90894,129317
2020-12-01,Industrie,Sous-destination,294449,225100
2021-01-01,Commerce et services,Destination,515438,291743
2021-01-01,Exploitation agricole ou forestière,Destination,588605,428265
2021-01-01,"Industrie, entrepôts et bureaux",Destination,1236532,523146
2021-01-01,Équipements publics,Destination,428398,302755
2021-01-01,Bureaux,Sous-destination,338424,208355
2021-01-01,Entrepôts,Sous-destination,624731,136814
2021-01-01,Hôtels,Sous-destination,71416,38171
2021-01-01,Industrie,Sous-destination,311605,164735
2021-02-01,Commerce et services,Destination,493780,348719
2021-02-01,Exploitation agricole ou forestière,Destination,546029,455918
2021-02-01,"Industrie, entrepôts et bureaux",Destination,1354688,860883
2021-02-01,Équipements publics,Destination,374719,289392
2021-02-01,Bureaux,Sous-destination,329509,368463
2021-02-01,Entrepôts,Sous-destination,679758,297020
2021-02-01,Hôtels,Sous-destination,68724,37470
2021-02-01,Industrie,Sous-destination,233203,210677
2021-03-01,Commerce et services,Destination,445123,364484
2021-03-01,Exploitation agricole ou forestière,Destination,567019,484327
2021-03-01,"Industrie, entrepôts et bureaux",Destination,1411400,826533
2021-03-01,Équipements publics,Destination,488323,278075
2021-03-01,Bureaux,Sous-destination,363445,271936
2021-03-01,Entrepôts,Sous-destination,704804,332561
2021-03-01,Hôtels,Sous-destination,32412,45091
2021-03-01,Industrie,Sous-destination,302411,182640
2021-04-01,Commerce et services,Destination,476734,428228
2021-04-01,Exploitation agricole ou forestière,Destination,702914,458314
2021-04-01,"Industrie, entrepôts et bureaux",Destination,1154101,817503
2021-04-01,Équipements publics,Destination,542961,399756
2021-04-01,Bureaux,Sous-destination,363354,289253
2021-04-01,Entrepôts,Sous-destination,544558,350576
2021-04-01,Hôtels,Sous-destination,108399,43476
2021-04-01,Industrie,Sous-destination,226313,198042
2021-05-01,Commerce et services,Destination,542753,383794
2021-05-01,Exploitation agricole ou forestière,Destination,688233,374277
2021-05-01,"Industrie, entrepôts et bureaux",Destination,1516380,1189752
2021-05-01,Équipements publics,Destination,436808,330906
2021-05-01,Bureaux,Sous-destination,500676,433491
2021-05-01,Entrepôts,Sous-destination,740738,535496
2021-05-01,Hôtels,Sous-destination,82141,96050
2021-05-01,Industrie,Sous-destination,394898,264643
2021-06-01,Commerce et services,Destination,551476,289281
2021-06-01,Exploitation agricole ou forestière,Destination,780860,364928
2021-06-01,"Industrie, entrepôts et bureaux",Destination,1352886,828652
2021-06-01,Équipements publics,Destination,494927,338571
2021-06-01,Bureaux,Sous-destination,358025,311667
2021-06-01,Entrepôts,Sous-destination,651449,287130
2021-06-01,Hôtels,Sous-destination,84465,43542
2021-06-01,Industrie,Sous-destination,349293,235095
2021-07-01,Commerce et services,Destination,536799,342453
2021-07-01,Exploitation agricole ou forestière,Destination,738515,394573
2021-07-01,"Industrie, entrepôts et bureaux",Destination,1490597,726905
2021-07-01,Équipements publics,Destination,428412,348434
2021-07-01,Bureaux,Sous-destination,395114,234013
2021-07-01,Entrepôts,Sous-destination,789118,350051
2021-07-01,Hôtels,Sous-destination,108355,45635
2021-07-01,Industrie,Sous-destination,274993,171403
2021-08-01,Commerce et services,Destination,530043,404462
2021-08-01,Exploitation agricole ou forestière,Destination,735735,314750
2021-08-01,"Industrie, entrepôts et bureaux",Destination,1747948,1355064
2021-08-01,Équipements publics,Destination,513681,368165
2021-08-01,Bureaux,Sous-destination,372661,360708
2021-08-01,Entrepôts,Sous-destination,1061009,770506
2021-08-01,Hôtels,Sous-destination,75741,63434
2021-08-01,Industrie,Sous-destination,356742,267307
2021-09-01,Commerce et services,Destination,559946,345977
2021-09-01,Exploitation agricole ou forestière,Destination,826466,458014
2021-09-01,"Industrie, entrepôts et bureaux",Destination,1459191,1037072
2021-09-01,Équipements publics,Destination,532203,388217
2021-09-01,Bureaux,Sous-destination,413576,355525
2021-09-01,Entrepôts,Sous-destination,708213,479070
2021-09-01,Hôtels,Sous-destination,89408,63024
2021-09-01,Industrie,Sous-destination,330299,246742
2021-10-01,Commerce et services,Destination,503819,418872
2021-10-01,Exploitation agricole ou forestière,Destination,753314,249278
2021-10-01,"Industrie, entrepôts et bureaux",Destination,1389307,1108876
2021-10-01,Équipements publics,Destination,435749,317272
2021-10-01,Bureaux,Sous-destination,330915,299155
2021-10-01,Entrepôts,Sous-destination,591765,455158
2021-10-01,Hôtels,Sous-destination,81778,97631
2021-10-01,Industrie,Sous-destination,442919,248190
2021-11-01,Commerce et services,Destination,561131,368713
2021-11-01,Exploitation agricole ou forestière,Destination,772615,359844
2021-11-01,"Industrie, entrepôts et bureaux",Destination,1495804,1027436
2021-11-01,Équipements publics,Destination,354290,360707
2021-11-01,Bureaux,Sous-destination,338203,325125
2021-11-01,Entrepôts,Sous-destination,837198,402902
2021-11-01,Hôtels,Sous-destination,82799,39279
2021-11-01,Industrie,Sous-destination,400287,295448
2021-12-01,Commerce et services,Destination,544623,367161
2021-12-01,Exploitation agricole ou forestière,Destination,512708,454553
2021-12-01,"Industrie, entrepôts et bureaux",Destination,1477001,1013790
2021-12-01,Équipements publics,Destination,542072,321526
2021-12-01,Bureaux,Sous-destination,468184,227424
2021-12-01,Entrepôts,Sous-destination,672315,654081
2021-12-01,Hôtels,Sous-destination,99625,50202
2021-12-01,Industrie,Sous-destination,313332,215478
2022-01-01,Commerce et services,Destination,612721,304215
2022-01-01,Exploitation agricole ou forestière,Destination,525329,429984
2022-01-01,"Industrie, entrepôts et bureaux",Destination,1419108,1441894
2022-01-01,Équipements publics,Destination,347247,335111
2022-01-01,Bureaux,Sous-destination,375248,251672
2022-01-01,Entrepôts,Sous-destination,721037,728603
2022-01-01,Hôtels,Sous-destination,91755,31771
2022-01-01,Industrie,Sous-destination,330223,316501
2022-02-01,Commerce et services,Destination,600684,396094
2022-02-01,Exploitation agricole ou forestière,Destination,585190,264923
2022-02-01,"Industrie, entrepôts et bureaux",Destination,1393726,1106112
2022-02-01,Équipements publics,Destination,400366,348689
2022-02-01,Bureaux,Sous-destination,312685,267432
2022-02-01,Entrepôts,Sous-destination,586487,590417
2022-02-01,Hôtels,Sous-destination,68478,49738
2022-02-01,Industrie,Sous-destination,404096,258997
2022-03-01,Commerce et services,Destination,698481,355307
2022-03-01,Exploitation agricole ou forestière,Destination,633986,395530
2022-03-01,"Industrie, entrepôts et bureaux",Destination,1554364,902524
2022-03-01,Équipements publics,Destination,510715,538686
2022-03-01,Bureaux,Sous-destination,381332,275448
2022-03-01,Entrepôts,Sous-destination,673114,355571
2022-03-01,Hôtels,Sous-destination,115905,39784
2022-03-01,Industrie,Sous-destination,393875,254222
2022-04-01,Commerce et services,Destination,591711,594153
2022-04-01,Exploitation agricole ou forestière,Destination,704173,577093
2022-04-01,"Industrie, entrepôts et bureaux",Destination,1861507,1405487
2022-04-01,Équipements publics,Destination,413031,417289
2022-04-01,Bureaux,Sous-destination,628331,324269
2022-04-01,Entrepôts,Sous-destination,794062,662563
2022-04-01,Hôtels,Sous-destination,73785,75064
2022-04-01,Industrie,Sous-destination,424751,382850
2022-05-01,Commerce et services,Destination,557278,423886
2022-05-01,Exploitation agricole ou forestière,Destination,649221,414029
2022-05-01,"Industrie, entrepôts et bureaux",Destination,1471247,1211680
2022-05-01,Équipements publics,Destination,587336,285640
2022-05-01,Bureaux,Sous-destination,490444,287876
2022-05-01,Entrepôts,Sous-destination,742185,774521
2022-05-01,Hôtels,Sous-destination,95609,58327
2022-05-01,Industrie,Sous-destination,359462,233115
2022-06-01,Commerce et services,Destination,616620,438224
2022-06-01,Exploitation agricole ou forestière,Destination,532648,364101
2022-06-01,"Industrie, entrepôts et bureaux",Destination,1463798,1052919
2022-06-01,Équipements publics,Destination,412073,289233
2022-06-01,Bureaux,Sous-destination,477312,293499
2022-06-01,Entrepôts,Sous-destination,603543,590773
2022-06-01,Hôtels,Sous-destination,100521,65202
2022-06-01,Industrie,Sous-destination,368644,199967
2022-07-01,Commerce et services,Destination,568109,311332
2022-07-01,Exploitation agricole ou forestière,Destination,544506,282058
2022-07-01,"Industrie, entrepôts et bureaux",Destination,1535865,929593
2022-07-01,Équipements publics,Destination,382219,201932
2022-07-01,Bureaux,Sous-destination,338207,310764
2022-07-01,Entrepôts,Sous-destination,770233,371494
2022-07-01,Hôtels,Sous-destination,79985,50900
2022-07-01,Industrie,Sous-destination,420083,237703
2022-08-01,Commerce et services,Destination,651321,322543
2022-08-01,Exploitation agricole ou forestière,Destination,543106,358098
2022-08-01,"Industrie, entrepôts et bureaux",Destination,1555306,1024198
2022-08-01,Équipements publics,Destination,548468,338660
2022-08-01,Bureaux,Sous-destination,702244,310507
2022-08-01,Entrepôts,Sous-destination,605306,513571
2022-08-01,Hôtels,Sous-destination,102070,38468
2022-08-01,Industrie,Sous-destination,381078,230475
2022-09-01,Commerce et services,Destination,603275,379865
2022-09-01,Exploitation agricole ou forestière,Destination,637103,251733
2022-09-01,"Industrie, entrepôts et bureaux",Destination,1544830,981257
2022-09-01,Équipements publics,Destination,536100,314209
2022-09-01,Bureaux,Sous-destination,437588,282221
2022-09-01,Entrepôts,Sous-destination,774263,487146
2022-09-01,Hôtels,Sous-destination,109523,83356
2022-09-01,Industrie,Sous-destination,360215,249541
2022-10-01,Commerce et services,Destination,685349,356567
2022-10-01,Exploitation agricole ou forestière,Destination,655655,293930
2022-10-01,"Industrie, entrepôts et bureaux",Destination,1702610,903738
2022-10-01,Équipements publics,Destination,573574,436447
2022-10-01,Bureaux,Sous-destination,413507,255165
2022-10-01,Entrepôts,Sous-destination,985631,388130
2022-10-01,Hôtels,Sous-destination,134124,44140
2022-10-01,Industrie,Sous-destination,342396,183948
2022-11-01,Commerce et services,Destination,626828,351298
2022-11-01,Exploitation agricole ou forestière,Destination,650416,349014
2022-11-01,"Industrie, entrepôts et bureaux",Destination,1985836,908258
2022-11-01,Équipements publics,Destination,529525,330387
2022-11-01,Bureaux,Sous-destination,431966,237711
2022-11-01,Entrepôts,Sous-destination,1142743,401231
2022-11-01,Hôtels,Sous-destination,103442,40132
2022-11-01,Industrie,Sous-destination,443952,292894
2022-12-01,Commerce et services,Destination,499102,408479
2022-12-01,Exploitation agricole ou forestière,Destination,635351,354843
2022-12-01,"Industrie, entrepôts et bureaux",Destination,1440770,874421
2022-12-01,Équipements publics,Destination,511963,382884
2022-12-01,Bureaux,Sous-destination,369532,319601
2022-12-01,Entrepôts,Sous-destination,657180,305716
2022-12-01,Hôtels,Sous-destination,76228,82816
2022-12-01,Industrie,Sous-destination,405318,262797
2023-01-01,Commerce et services,Destination,564776,382964
2023-01-01,Exploitation agricole ou forestière,Destination,650742,333468
2023-01-01,"Industrie, entrepôts et bureaux",Destination,1459260,851345
2023-01-01,Équipements publics,Destination,607080,370389
2023-01-01,Bureaux,Sous-destination,431016,239980
2023-01-01,Entrepôts,Sous-destination,697065,357437
2023-01-01,Hôtels,Sous-destination,81776,71858
2023-01-01,Industrie,Sous-destination,333014,216776
2023-02-01,Commerce et services,Destination,627616,294108
2023-02-01,Exploitation agricole ou forestière,Destination,534181,337822
2023-02-01,"Industrie, entrepôts et bureaux",Destination,1401033,854526
2023-02-01,Équipements publics,Destination,495553,389670
2023-02-01,Bureaux,Sous-destination,344691,268207
2023-02-01,Entrepôts,Sous-destination,569243,398556
2023-02-01,Hôtels,Sous-destination,81312,31425
2023-02-01,Industrie,Sous-destination,398319,188939
2023-03-01,Commerce et services,Destination,522177,377237
2023-03-01,Exploitation agricole ou forestière,Destination,518035,341843
2023-03-01,"Industrie, entrepôts et bureaux",Destination,1512528,971797
2023-03-01,Équipements publics,Destination,500135,352285
2023-03-01,Bureaux,Sous-destination,402106,263607
2023-03-01,Entrepôts,Sous-destination,570070,439402
2023-03-01,Hôtels,Sous-destination,82033,81677
2023-03-01,Industrie,Sous-destination,422698,250055
2023-04-01,Commerce et services,Destination,570321,241616
2023-04-01,Exploitation agricole ou forestière,Destination,493737,355205
2023-04-01,"Industrie, entrepôts et bureaux",Destination,1476305,940275
2023-04-01,Équipements publics,Destination,452738,313611
2023-04-01,Bureaux,Sous-destination,348556,290671
2023-04-01,Entrepôts,Sous-destination,756125,405161
2023-04-01,Hôtels,Sous-destination,56102,20804
2023-04-01,Industrie,Sous-destination,377721,237356
2023-05-01,Commerce et services,Destination,609027,258238
2023-05-01,Exploitation agricole ou forestière,Destination,454365,259886
2023-05-01,"Industrie, entrepôts et bureaux",Destination,1599700,644403
2023-05-01,Équipements publics,Destination,564137,316135
2023-05-01,Bureaux,Sous-destination,373274,214436
2023-05-01,Entrepôts,Sous-destination,825388,258565
2023-05-01,Hôtels,Sous-destination,92916,63640
2023-05-01,Industrie,Sous-destination,561230,185726
2023-06-01,Commerce et services,Destination,557836,416297
2023-06-01,Exploitation agricole ou forestière,Destination,488820,301430
2023-06-01,"Industrie, entrepôts et bureaux",Destination,1584810,904126
2023-06-01,Équipements publics,Destination,503392,353296
2023-06-01,Bureaux,Sous-destination,372966,277352
2023-06-01,Entrepôts,Sous-destination,794568,395998
2023-06-01,Hôtels,Sous-destination,55969,86424
2023-06-01,Industrie,Sous-destination,387357,257683
2023-07-01,Commerce et services,Destination,571827,263194
2023-07-01,Exploitation agricole ou forestière,Destination,559085,276890
2023-07-01,"Industrie, entrepôts et bureaux",Destination,1729890,815396
2023-07-01,Équipements publics,Destination,465590,293538
2023-07-01,Bureaux,Sous-destination,353602,263221
2023-07-01,Entrepôts,Sous-destination,835262,285069
2023-07-01,Hôtels,Sous-destination,87481,25363
2023-07-01,Industrie,Sous-destination,529838,295412
2023-08-01,Commerce et services,Destination,493717,368365
2023-08-01,Exploitation agricole ou forestière,Destination,569946,294195
2023-08-01,"Industrie, entrepôts et bureaux",Destination,1320784,782341
2023-08-01,Équipements publics,Destination,384911,290462
2023-08-01,Bureaux,Sous-destination,370618,242135
2023-08-01,Entrepôts,Sous-destination,741056,389251
